Start with N = 1000, C0 = 10, max_point = 5, feature_case = core
The time for constructing x_order and v_order 593 milliseconds
The time for constructing optimization model is 8907 milliseconds, start solving the model
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : CONIC (conic optimization problem)
  Constraints            : 3259            
  Affine conic cons.     : 2000            
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 5123            
  Matrix variables       : 0               
  Integer variables      : 1123            

Optimizer started.
Mixed integer optimizer started.
Threads used: 10
Presolve started.
Presolve terminated. Time = 0.39, probing time =  0.23
Presolved problem: 7085 variables, 2198 constraints, 15205 non-zeros
Presolved problem: 108 general integer, 977 binary, 6000 continuous
Presolved problem: 2000 cones
Clique table size: 107
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
46972    47347    43675    214      3.7901947849e+02     3.3958287146e+02     10.40       1152.9
47191    47567    43878    218      3.7901947849e+02     3.3958287146e+02     10.40       1157.2
47408    47784    44087    215      3.7901947849e+02     3.3958294291e+02     10.40       1161.2
47626    48002    44289    220      3.7901947849e+02     3.3958294291e+02     10.40       1165.1
47844    48221    44485    58       3.7901947849e+02     3.3958296517e+02     10.40       1169.0
48061    48440    44684    231      3.7901947849e+02     3.3958296709e+02     10.40       1173.5
48282    48661    44873    212      3.7901947849e+02     3.3958296709e+02     10.40       1178.5
48502    48881    45057    42       3.7901947849e+02     3.3958300546e+02     10.40       1183.2
48720    49099    45267    212      3.7901947849e+02     3.3958307045e+02     10.40       1187.2
48938    49317    45473    214      3.7901947849e+02     3.3958310668e+02     10.40       1191.2
49155    49534    45656    48       3.7901947849e+02     3.3958310668e+02     10.40       1195.1
49373    49752    45854    230      3.7901947849e+02     3.3958310668e+02     10.40       1199.1
49588    49968    46059    194      3.7901947849e+02     3.3958310668e+02     10.40       1203.1
49808    50188    46265    68       3.7901947849e+02     3.3958310668e+02     10.40       1208.2
50025    50405    46444    188      3.7901947849e+02     3.3958313205e+02     10.40       1212.0
50242    50622    46629    224      3.7901947849e+02     3.3958313205e+02     10.40       1216.0
50417    50793    46782    219      3.6586285635e+02     3.3958313205e+02     7.18        1220.4
50634    51006    46985    225      3.6586285635e+02     3.3958313205e+02     7.18        1224.2
50851    51223    47172    231      3.6586285635e+02     3.3958369500e+02     7.18        1228.1
51068    51440    47369    20       3.6586285635e+02     3.3958422958e+02     7.18        1232.3
51283    51655    47582    33       3.6586285635e+02     3.3958422958e+02     7.18        1236.7
51498    51870    47769    53       3.6586285635e+02     3.3958422958e+02     7.18        1241.1
51712    52084    47953    218      3.6586285635e+02     3.3958562677e+02     7.18        1245.8
51929    52302    48146    214      3.6586285635e+02     3.3958562677e+02     7.18        1250.8
52147    52521    48310    228      3.6586285635e+02     3.3958562677e+02     7.18        1255.0
52363    52737    48514    211      3.6586285635e+02     3.3958562677e+02     7.18        1259.3
52578    52952    48721    229      3.6586285635e+02     3.3958562677e+02     7.18        1263.5
52794    53169    48935    214      3.6586285635e+02     3.3958562677e+02     7.18        1267.6
53010    53387    49105    226      3.6586285635e+02     3.3958562677e+02     7.18        1271.7
53227    53604    49294    233      3.6586285635e+02     3.3958562677e+02     7.18        1276.8
53446    53825    49461    24       3.6586285635e+02     3.3958562677e+02     7.18        1281.0
53664    54045    49639    216      3.6586285635e+02     3.3958562677e+02     7.18        1285.5
53883    54266    49824    177      3.6586285635e+02     3.3958562677e+02     7.18        1290.3
54069    54453    49974    220      3.6344685705e+02     3.3958562677e+02     6.57        1294.6
54288    54669    50175    232      3.6344685705e+02     3.3958562677e+02     6.57        1298.8
54503    54886    50364    217      3.6344685705e+02     3.3958565764e+02     6.57        1303.0
54720    55103    50563    229      3.6344685705e+02     3.3958623288e+02     6.57        1307.2
54935    55318    50762    19       3.6344685705e+02     3.3958623288e+02     6.57        1311.4
55152    55535    50953    172      3.6344685705e+02     3.3958623288e+02     6.57        1315.6
55367    55751    51120    222      3.6344685705e+02     3.3958623288e+02     6.57        1319.7
55583    55967    51326    235      3.6344685705e+02     3.3958623288e+02     6.57        1324.4
55799    56183    51492    248      3.6344685705e+02     3.3958623288e+02     6.57        1328.8
56009    56398    51662    224      3.6344685705e+02     3.3958623288e+02     6.57        1332.9
56223    56616    51840    231      3.6344685705e+02     3.3958777079e+02     6.56        1337.1
56440    56836    52011    230      3.6344685705e+02     3.3958777079e+02     6.56        1341.1
56660    57056    52179    231      3.6344685705e+02     3.3958777079e+02     6.56        1345.3
56879    57275    52382    25       3.6344685705e+02     3.3958811037e+02     6.56        1349.3
57097    57495    52564    26       3.6344685705e+02     3.3958811037e+02     6.56        1353.9
57316    57714    52731    44       3.6344685705e+02     3.3958811037e+02     6.56        1358.2
57536    57934    52925    232      3.6344685705e+02     3.3958811037e+02     6.56        1362.2
57757    58155    53104    199      3.6344685705e+02     3.3958811037e+02     6.56        1366.3
57976    58375    53269    221      3.6344685705e+02     3.3958811037e+02     6.56        1370.7
58194    58593    53459    238      3.6344685705e+02     3.3958811037e+02     6.56        1374.7
58395    58795    53644    242      3.6344685705e+02     3.3958811037e+02     6.56        1378.8
58611    59013    53818    259      3.6344685705e+02     3.3958811037e+02     6.56        1382.6
58828    59233    54011    274      3.6344685705e+02     3.3958811037e+02     6.56        1386.5
59040    59453    54155    287      3.6344685705e+02     3.3958811037e+02     6.56        1391.1
59254    59673    54303    245      3.6344685705e+02     3.3958811037e+02     6.56        1395.1
59469    59892    54488    238      3.6344685705e+02     3.3958950125e+02     6.56        1399.3
59686    60111    54679    25       3.6344685705e+02     3.3958950125e+02     6.56        1403.3
59903    60328    54886    237      3.6344685705e+02     3.3958950125e+02     6.56        1408.1
60120    60545    55069    242      3.6344685705e+02     3.3958950125e+02     6.56        1412.8
60336    60762    55247    43       3.6344685705e+02     3.3958950125e+02     6.56        1418.1
60553    60983    55414    236      3.6344685705e+02     3.3958950125e+02     6.56        1422.1
60766    61201    55579    238      3.6344685705e+02     3.3958950125e+02     6.56        1426.2
60977    61417    55760    17       3.6344685705e+02     3.3958964998e+02     6.56        1430.2
61192    61636    55939    246      3.6344685705e+02     3.3958964998e+02     6.56        1435.2
61407    61852    56134    240      3.6344685705e+02     3.3958964998e+02     6.56        1441.1
61625    62073    56326    259      3.6344685705e+02     3.3958964998e+02     6.56        1447.6
61822    62274    56475    272      3.6344685705e+02     3.3958964998e+02     6.56        1454.8
62038    62493    56635    253      3.6344685705e+02     3.3958964998e+02     6.56        1462.1
