Start with N = 5000, C0 = 10, max_point = 5, feature_case = full
The time for constructing x_order and v_order 530 milliseconds
The time for constructing optimization model is 7741 milliseconds, start solving the model
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : CONIC (conic optimization problem)
  Constraints            : 25576           
  Affine conic cons.     : 10000           
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 27789           
  Matrix variables       : 0               
  Integer variables      : 7789            

Optimizer started.
Mixed integer optimizer started.
Threads used: 10
Presolve started.
Presolve terminated. Time = 2.56, probing time =  2.13
Presolved problem: 37591 variables, 17518 constraints, 234880 non-zeros
Presolved problem: 1 general integer, 7590 binary, 30000 continuous
Presolved problem: 10000 cones
Clique table size: 7518
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
30347    29509    5180     51       2.3079581618e+03     2.2028556203e+03     4.55        6111.3
30572    29734    5195     34       2.3079581618e+03     2.2029692115e+03     4.55        6150.9
30786    29948    5231     29       2.3079581618e+03     2.2030159347e+03     4.55        6196.2
31015    30177    5250     23       2.3079581618e+03     2.2030282676e+03     4.55        6231.3
31245    30407    5268     32       2.3079581618e+03     2.2030282676e+03     4.55        6294.2
31469    30628    5282     42       2.3078637772e+03     2.2030282676e+03     4.54        6325.6
31685    30843    5324     53       2.3078637772e+03     2.2032698473e+03     4.53        6361.2
31884    31042    5363     33       2.3078637772e+03     2.2033145657e+03     4.53        6398.8
32113    31271    5426     30       2.3078637772e+03     2.2034465752e+03     4.52        6438.5
32345    31503    5474     41       2.3078637772e+03     2.2034465752e+03     4.52        6488.7
32576    31734    5497     62       2.3078637772e+03     2.2036387848e+03     4.52        6540.9
32817    31975    5538     72       2.3078637772e+03     2.2037496798e+03     4.51        6583.3
33053    32211    5592     39       2.3078637772e+03     2.2038265047e+03     4.51        6626.5
33299    32457    5610     76       2.3078637772e+03     2.2038573919e+03     4.51        6656.1
33532    32690    5631     68       2.3078637772e+03     2.2038637035e+03     4.51        6706.8
33763    32922    5652     65       2.3078637772e+03     2.2039646735e+03     4.50        6753.7
34004    33163    5675     22       2.3078637772e+03     2.2040691700e+03     4.50        6794.9
34234    33393    5685     16       2.3078637772e+03     2.2042601910e+03     4.49        6831.8
34467    33626    5718     74       2.3078637772e+03     2.2042612291e+03     4.49        6870.5
34693    33852    5742     17       2.3078637772e+03     2.2043727252e+03     4.48        6912.4
34923    34082    5766     77       2.3078637772e+03     2.2044453814e+03     4.48        6957.5
35138    34290    5781     63       2.2959968284e+03     2.2044919904e+03     3.99        6995.8
35368    34494    5811     16       2.2959968284e+03     2.2046037209e+03     3.98        7037.2
35595    34717    5834     28       2.2959968284e+03     2.2046037209e+03     3.98        7066.9
35815    34929    5842     51       2.2959968284e+03     2.2047277769e+03     3.98        7134.2
36040    35152    5849     59       2.2959968284e+03     2.2048567050e+03     3.97        7182.9

Objective of best integer solution : 2.295996828390e+03      
Best objective bound               : 2.204857267126e+03      
Initial feasible solution objective: Undefined
Construct solution objective       : Not employed
User objective cut value           : Not employed
Number of cuts generated           : 0
Number of branches                 : 36040
Number of relaxations solved       : 35152
Number of interior point iterations: 830382
Number of simplex iterations       : 0
Time spend presolving the root     : 2.56
Time spend optimizing the root     : 4.19
Mixed integer optimizer terminated. Time: 7200.25

Optimizer terminated. Time: 7200.33 

MOSEK error 2950: No dual information is available for the integer solution.
* Solver : Mosek

* Status
  Result count       : 1
  Termination status : TIME_LIMIT
  Message from the solver:
  "Mosek.MSK_RES_TRM_MAX_TIME"

* Candidate solution (result #1)
  Primal status      : FEASIBLE_POINT
  Dual status        : UNKNOWN_RESULT_STATUS
  Objective value    : 2.29600e+03
  Objective bound    : 2.20486e+03
  Relative gap       : 3.96952e-02

* Work counters
  Solve time (sec)   : 7.20033e+03
  Simplex iterations : 0
  Barrier iterations : 830382
  Node count         : 36040

The time for constructing x_order and v_order 153 milliseconds
The time for constructing optimization model is 717 milliseconds, start solving the model
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : LO (linear optimization problem)
  Constraints            : 20576           
  Affine conic cons.     : 0               
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 27789           
  Matrix variables       : 0               
  Integer variables      : 7789            

Optimizer started.
Mixed integer optimizer started.
Threads used: 10
Presolve started.
Presolve terminated. Time = 0.05, probing time =  0.00
Clique table size: 0
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  

Objective of best integer solution : 0.000000000000e+00      
Best objective bound               : Not available.
Initial feasible solution objective: 0.000000000000e+00      
Construct solution objective       : Not employed
User objective cut value           : Not employed
Number of cuts generated           : 0
Number of branches                 : 0
Number of relaxations solved       : 0
Number of interior point iterations: 0
Number of simplex iterations       : 0
Time spend presolving the root     : 0.05
Time spend optimizing the root     : 0.00
Mixed integer optimizer terminated. Time: 0.10

Optimizer terminated. Time: 0.10    

MOSEK error 2950: No dual information is available for the integer solution.
* Solver : Mosek

* Status
  Result count       : 1
  Termination status : INFEASIBLE_OR_UNBOUNDED
  Message from the solver:
  "Mosek.MSK_SOL_STA_UNKNOWN"

* Candidate solution (result #1)
  Primal status      : UNKNOWN_RESULT_STATUS
  Dual status        : UNKNOWN_RESULT_STATUS
  Objective value    : 0.00000e+00
  Objective bound    : 0.00000e+00
  Relative gap       : -1.00000e+00

* Work counters
  Solve time (sec)   : 1.03836e-01
  Simplex iterations : 0
  Barrier iterations : 0
  Node count         : 0

